mark,userName,p_id
Accepted,zhijieS,P1000
Compile Error,codejesus_young,P1000
Compile Error,zhijieS,P1000
Accepted,wanghj25,P1000
Accepted,zhouyongqiang,P1000
Accepted,qwxxx,P1000
Unaccepted,SJY001,P1000
Compile Error,qwxxx,P1000
Accepted,hty20940136,P1000
Accepted,jkljhh,P1000
Accepted,suoh123,P1000
Unaccepted,hty20940136,P1000
Accepted,一起吃饭,P1000
Accepted,jynf,P1000
Compile Error,xccmy,P1000
Compile Error,jkljhh,P1000
Accepted,gongchuqiao,P1000
Accepted,Andy123456,P1000
Accepted,Liutianyou93,P1000
Compile Error,hty20940136,P1000
Compile Error,Liutianyou93,P1000
Unaccepted,ll1641589503,P1000
Accepted,abcba12321,P1000
Accepted,555555ly,P1000
Accepted,zhangruoli,P1000
Compile Error,zhangruoli,P1000
Unaccepted,learnCoding,P1000
Accepted,Jeffjiang,P1000
Compile Error,learnCoding,P1000
Accepted,jiaowoxiaokuai111,P1000
Unaccepted,jiaowoxiaokuai111,P1000
Accepted,Houmang2009,P1000
Compile Error,Houmang2009,P1000
Accepted,2087210589ljl,P1000
Accepted,weizhuang329,P1000
Compile Error,weizhuang329,P1000
Accepted,蒟蒻liaoyichen,P1000
Accepted,_LUOGU_USER_,P1000
Accepted,xjtu2019jh,P1000
Unaccepted,Downroad_FutureSnow,P1000
Unaccepted,钰光莎莎123,P1000
Compile Error,xjtu2019jh,P1000
Accepted,钰光莎莎123,P1000
Accepted,Taozhiyaoyao250,P1000
Accepted,Fuxr,P1000
Accepted,张亚利,P1000
Accepted,gentlemans1,P1000
Accepted,disappoint,P1000
Accepted,Litsev,P1000
Compile Error,gentlemans1,P1000
Unaccepted,Litsev,P1000
Unaccepted,张亚利,P1000
Compile Error,张亚利,P1000
Compile Error,disappoint,P1000
Compile Error,Litsev,P1000
Accepted,shuxing,P1000
Compile Error,larrygao,P1000
Accepted,zhanghaoyuan,P1000
Accepted,千手修罗,P1000
Accepted,qaz20020816,P1000
Accepted,tju186,P1000
Compile Error,tju186,P1000
Accepted,r7o7l7a7n7d,P1000
Unaccepted,r7o7l7a7n7d,P1000
Compile Error,lilyli,P1000
Accepted,luanshangbo,P1000
Accepted,爱学习嘀嘀,P1000
Unaccepted,LISTENR,P1000
Unshown,,P1000
Unaccepted,_晓风残月_,P1000
Compile Error,3435814075ykj,P1000
Accepted,xingjiahui,P1000
Unaccepted,xingjiahui,P1000
Compile Error,瀚海信竟dhy,P1000
Accepted,志臻叶雨萌,P1000
Accepted,Renga丶,P1000
Unaccepted,wangwenyu1,P1000
Accepted,stranger_74,P1000
Unaccepted,stranger_74,P1000
Compile Error,stranger_74,P1000
Accepted,李浩罡,P1000
Accepted,尤为突出,P1000
Accepted,yingjingxu,P1000
Unaccepted,Fuxr,P1000
Accepted,EPICETERNITY,P1000
Accepted,公爵阁下,P1000
Compile Error,Lucifer1,P1000
Unaccepted,qw12m,P1000
Unaccepted,sanoge,P1000
Accepted,maxhjz,P1000
Compile Error,sanoge,P1000
Accepted,AusnUnia,P1000
Accepted,Kenny0309,P1000
Accepted,Bill2020,P1000
Unaccepted,AusnUnia,P1000
Compile Error,AusnUnia,P1000
Unaccepted,飒飒,P1000
Compile Error,leukocyte,P1000
Compile Error,cgy陈冠宇,P1000
Accepted,自由的小鱼,P1000
Accepted,旋风游侠,P1000
Accepted,wryyyyyyyy,P1000
Compile Error,wryyyyyyyy,P1000
Accepted,Ai_Kurumi33,P1000
Compile Error,—_—_—_,P1000
Unaccepted,Bill2020,P1000
Accepted,shenlan1226,P1000
Accepted,Chrora,P1000
Compile Error,Chrora,P1000
Accepted,时光胶囊,P1000
Unaccepted,RainBridge,P1000
Accepted,张格瑞gary,P1000
Compile Error,张格瑞gary,P1000
Compile Error,siuver,P1000
Accepted,baishengmen,P1000
Accepted,计算机洪晓东,P1000
Compile Error,tianmaozhen,P1000
Unaccepted,tianmaozhen,P1000
Compile Error,Bright0427,P1000
Accepted,z97155,P1000
Compile Error,z97155,P1000
Unaccepted,z97155,P1000
Compile Error,T193630644,P1000
Unaccepted,痴梦师,P1000
Accepted,李坤璘,P1000
Unaccepted,李坤璘,P1000
Accepted,wei189299,P1000
Accepted,Red_Lantern,P1000
Accepted,m201923,P1000
Accepted,柑普0615,P1000
Accepted,Eva_pan,P1000
Compile Error,Harry_0802,P1000
Accepted,0x9Nu,P1000
Accepted,zzh是hh,P1000
Unaccepted,0x9Nu,P1000
Accepted,xhl_338,P1000
Unaccepted,KWK942647,P1000
Compile Error,KWK942647,P1000
Compile Error,0x9Nu,P1000
Accepted,ABLT,P1000
Compile Error,ABLT,P1000
Compile Error,学废了学废了,P1000
Compile Error,puichingabc12345,P1000
Unaccepted,puichingabc12345,P1000
Accepted,Scandium123,P1000
Unaccepted,C216PHY,P1000
Unaccepted,pppqqc,P1000
Accepted,zouxiang,P1000
Unaccepted,ljx19971013,P1000
Accepted,zxych001,P1000
Compile Error,zxych001,P1000
Unaccepted,dy20100406,P1000
Accepted,lemmmm,P1000
Unaccepted,lemmmm,P1000
Accepted,Harker,P1000
Compile Error,Harker,P1000
Accepted,KABB,P1000
Unaccepted,KABB,P1000
Compile Error,KABB,P1000
Compile Error,张客宇code,P1000
Accepted,Daises,P1000
Accepted,qiuxiong1590,P1000
Accepted,lhl13888668895,P1000
Compile Error,qiuxiong1590,P1000
Accepted,wzqxx,P1000
Accepted,thisisliang,P1000
Compile Error,BoringHacker,P1000
Accepted,ZX233333,P1000
Accepted,怎么吃都不饱,P1000
Accepted,京京1342,P1000
Compile Error,京京1342,P1000
Compile Error,Lugia0121,P1000
Accepted,ncoheart,P1000
Compile Error,liujianmingshinidie,P1000
Compile Error,怎么吃都不饱,P1000
Accepted,LY183492761,P1000
Accepted,WYTttao,P1000
Accepted,PetterZhukov,P1000
Compile Error,PetterZhukov,P1000
Compile Error,WYTttao,P1000
Accepted,hgyjxy18674469817,P1000
Accepted,jo_sen,P1000
Unaccepted,mwj2068472209,P1000
Compile Error,mwj2068472209,P1000
Accepted,why1286354099,P1000
Compile Error,AAA18947208923,P1000
Accepted,Barry0903,P1000
Accepted,c1010ccrush,P1000
Accepted,wsmnb,P1000
Unaccepted,Barry0903,P1000
Accepted,zxy0523,P1000
Accepted,liudunrui,P1000
Unaccepted,司马仲达1st,P1000
Accepted,落鹰折雁,P1000
Accepted,Y3r29K,P1000
Unaccepted,Y3r29K,P1000
Accepted,lwjalyq,P1000
Compile Error,lwjalyq,P1000
Accepted,chen2693105971,P1000
Accepted,Lan6626,P1000
Unaccepted,chen2693105971,P1000
Accepted,wsysh,P1000
Compile Error,郑稀文,P1000
Compile Error,chen2693105971,P1000
Unaccepted,lwjalyq,P1000
Accepted,小鲸鲲,P1000
Accepted,左丞相953105,P1000
Compile Error,左丞相953105,P1000
Accepted,微冷,P1000
Unaccepted,yuanrunsheng1029,P1000
Accepted,19827037951smt,P1000
Accepted,oddy,P1000
Unaccepted,19827037951smt,P1000
Unaccepted,WANwhxwy,P1000
Unaccepted,王昊岩123,P1000
Compile Error,19827037951smt,P1000
Unaccepted,pingan20091119,P1000
Compile Error,pingan20091119,P1000
Accepted,Rowling08,P1000
Accepted,linzitong08,P1000
Accepted,tbkgxez,P1000
Accepted,ルオ・テンイ,P1000
Unaccepted,ルオ・テンイ,P1000
Unaccepted,ZZ作者,P1000
Unaccepted,undefined_name,P1000
Compile Error,Dajishuaibi,P1000
Accepted,哈哈哈豆腐花,P1000
Unaccepted,Stylechick_已AFO,P1000
Unaccepted,yspm,P1000
Accepted,OscarZhu,P1000
Accepted,VicChan,P1000
Accepted,timeccj,P1000
Unaccepted,OscarZhu,P1000
Accepted,wangruohuan21,P1000
Unaccepted,jiangyiyi,P1000
Accepted,epc00,P1000
Unaccepted,epc00,P1000
Accepted,SC__CARTER,P1000
Accepted,林林林LINLIN,P1000
Compile Error,dydaj12,P1000
Accepted,long53560,P1000
Compile Error,long53560,P1000
Unaccepted,花上品,P1000
Accepted,0921wjk,P1000
Accepted,向甜1016,P1000
Accepted,shangdelong,P1000
Unaccepted,向甜1016,P1000
Accepted,ljrwm,P1000
Accepted,CalvinZzzz,P1000
Accepted,tony_black,P1000
Accepted,dyyzy,P1000
Accepted,蒲冠宏,P1000
Compile Error,dyyzy,P1000
Accepted,上官秀儿,P1000
Accepted,胡源浩hyh,P1000
Compile Error,zaozao_zmx,P1000
Accepted,fufufufufu,P1000
Compile Error,拉格朗月,P1000
Accepted,rickwang,P1000
