user_id,user_question_sim_list
0,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
1,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
2,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
3,49 33 60 4 61 38 14 21 75 73 17 12 78 65 47 32 62 30 71 69
4,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
5,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
6,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
7,21 14 65 32 62 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
8,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
9,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
10,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
11,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
12,32 62 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
13,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
14,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
15,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
16,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
17,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
18,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
19,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
20,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
21,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
22,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
23,33 49 4 60 61 38 75 73 14 17 21 12 78 47 30 71 65 32 62 69
24,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
25,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
26,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
27,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
28,32 62 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
29,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
30,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
31,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
32,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
33,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
34,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
35,33 49 4 60 61 38 75 73 17 14 21 12 78 47 30 71 65 69 67 32
36,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
37,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
38,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
39,4 61 38 33 49 75 60 73 17 12 78 47 30 71 69 14 67 50 76 21
40,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
41,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
42,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
43,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
44,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
45,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
46,27 64 9 7 16 68 81 3 76 50 67 69 19 28 71 79 30 72 26 47
47,62 32 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
48,65 32 62 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
49,21 14 65 32 62 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
