user_id,user_embedding
0,"[0.017622776329517365, 0.0, 0.4034920930862427, 0.11974204331636429, 0.26078319549560547, 0.16246111690998077, 0.3870199918746948, 0.0]"
1,"[0.017622744664549828, 0.0, 0.39972248673439026, 0.11858365684747696, 0.25943470001220703, 0.16254261136054993, 0.3668590784072876, 0.0]"
2,"[0.01762237958610058, 0.0, 0.4941332936286926, 0.11075835675001144, 0.2641693353652954, 0.1633739024400711, 0.3089318871498108, 0.0]"
3,"[0.01762225851416588, 0.0, 0.484690397977829, 0.11363998055458069, 0.26476675271987915, 0.16341429948806763, 0.3391258120536804, 0.0]"
4,"[0.017619172111153603, 0.0, 1.207775592803955, 0.0637378841638565, 0.30634021759033203, 0.16999605298042297, 0.021193698048591614, 0.0]"
5,"[0.017618682235479355, 0.0, 1.2933543920516968, 0.05964205414056778, 0.3122674226760864, 0.17082157731056213, 0.009753614664077759, 0.0]"
6,"[0.01762363500893116, 0.0, 0.08861927688121796, 0.18536923825740814, 0.2690213918685913, 0.15978458523750305, 1.1415094137191772, 0.0]"
7,"[0.01762256771326065, 0.0, 0.4621874988079071, 0.11055377125740051, 0.2612159550189972, 0.16301611065864563, 0.2886962592601776, 0.0]"
8,"[0.017622536048293114, 0.0, 0.4316365122795105, 0.1186564713716507, 0.2628900706768036, 0.16283899545669556, 0.3861416280269623, 0.0]"
9,"[0.017622701823711395, 0.0, 0.40066009759902954, 0.11910050362348557, 0.26011359691619873, 0.16250933706760406, 0.3755979537963867, 0.0]"
10,"[0.017622413113713264, 0.0, 0.4852403700351715, 0.11005374789237976, 0.2629604935646057, 0.163284569978714, 0.2936674952507019, 0.0]"
11,"[0.01762264035642147, 0.0, 0.42084452509880066, 0.11690964549779892, 0.2607117295265198, 0.162745863199234, 0.353702187538147, 0.0]"
12,"[0.017622975632548332, 0.0, 0.33499929308891296, 0.12592697143554688, 0.25771623849868774, 0.16181325912475586, 0.4361088275909424, 0.0]"
13,"[0.017622722312808037, 0.0, 0.3984736502170563, 0.12099514901638031, 0.26104074716567993, 0.1624937355518341, 0.406110018491745, 0.0]"
14,"[0.017623119056224823, 0.0, 0.29319673776626587, 0.13353237509727478, 0.2577712833881378, 0.16148577630519867, 0.5218073129653931, 0.0]"
15,"[0.017619023099541664, 0.0, 1.2235902547836304, 0.06309866905212402, 0.3074825704097748, 0.17018280923366547, 0.02075788378715515, 0.0]"
16,"[0.017622679471969604, 0.0, 0.41411522030830383, 0.1198628842830658, 0.261641263961792, 0.16252920031547546, 0.39133548736572266, 0.0]"
17,"[0.01762232556939125, 0.0, 0.46722912788391113, 0.11346673220396042, 0.2628479301929474, 0.1631016731262207, 0.32691633701324463, 0.0]"
18,"[0.017623621970415115, 0.0, 0.032361000776290894, 0.214860737323761, 0.2812080383300781, 0.15940558910369873, 1.524544596672058, 0.0]"
19,"[0.01762363500893116, 0.0, 0.08401937782764435, 0.18846046924591064, 0.27017274498939514, 0.15976227819919586, 1.1783690452575684, 0.0]"
20,"[0.017622550949454308, 0.0, 0.43269556760787964, 0.11657058447599411, 0.26155561208724976, 0.16277886927127838, 0.3601429760456085, 0.0]"
21,"[0.017619146034121513, 0.0, 1.2316782474517822, 0.062447335571050644, 0.3081612288951874, 0.17018000781536102, 0.015857964754104614, 0.0]"
22,"[0.01762322150170803, 0.0, 0.2734130322933197, 0.13511726260185242, 0.2570422887802124, 0.1614585518836975, 0.531966507434845, 0.0]"
23,"[0.017622999846935272, 0.0, 0.3248136639595032, 0.13016746938228607, 0.25912484526634216, 0.16191336512565613, 0.48917287588119507, 0.0]"
24,"[0.017622560262680054, 0.0, 0.44014686346054077, 0.11513915657997131, 0.26143500208854675, 0.16285604238510132, 0.34165525436401367, 0.0]"
25,"[0.017623629420995712, 0.0, 0.06957325339317322, 0.1963742971420288, 0.27354657649993896, 0.15961068868637085, 1.2834595441818237, 0.0]"
26,"[0.01762264221906662, 0.0, 0.4225974678993225, 0.1158214807510376, 0.2602946162223816, 0.16263137757778168, 0.3458740711212158, 0.0]"
27,"[0.017623625695705414, 0.0, 0.04582206904888153, 0.20778465270996094, 0.2784317135810852, 0.15951859951019287, 1.4341142177581787, 0.0]"
28,"[0.01762278564274311, 0.0, 0.36165541410446167, 0.1252637356519699, 0.25959429144859314, 0.16218633949756622, 0.4391198754310608, 0.0]"
29,"[0.017622729763388634, 0.0, 0.4082369804382324, 0.11833560466766357, 0.2604406476020813, 0.1626533716917038, 0.3689771890640259, 0.0]"
30,"[0.017623627558350563, 0.0, 0.06273002922534943, 0.19935572147369385, 0.2747139036655426, 0.15956184267997742, 1.318874716758728, 0.0]"
31,"[0.017623627558350563, 0.0, 0.06388108432292938, 0.1988784670829773, 0.27468419075012207, 0.15963277220726013, 1.3178375959396362, 0.0]"
32,"[0.017622819170355797, 0.0, 0.36513563990592957, 0.12452486157417297, 0.2595561146736145, 0.16226597130298615, 0.43636560440063477, 0.0]"
33,"[0.017623351886868477, 0.0, 0.25940316915512085, 0.13337725400924683, 0.25473007559776306, 0.16115328669548035, 0.4999515414237976, 0.0]"
34,"[0.017623120918869972, 0.0, 0.32255837321281433, 0.12700365483760834, 0.25709086656570435, 0.1617163121700287, 0.44495320320129395, 0.0]"
35,"[0.017622528597712517, 0.0, 0.44487133622169495, 0.11581393331289291, 0.26235687732696533, 0.16295121610164642, 0.3531699776649475, 0.0]"
36,"[0.017622819170355797, 0.0, 0.3797784447669983, 0.12220224738121033, 0.2598121464252472, 0.162440687417984, 0.40920907258987427, 0.0]"
37,"[0.017618464305996895, 0.0, 1.36834716796875, 0.05589739605784416, 0.31744521856307983, 0.17157478630542755, 0.0, 0.0]"
38,"[0.01761842705309391, 0.0, 1.3722541332244873, 0.055783387273550034, 0.31796425580978394, 0.1716664433479309, 0.0, 0.0]"
