mark,userName,questionId,mark_idx,userName_idx,questionId_idx
Unaccepted,codejesus_young,P1000,0,0,0
Unaccepted,zhijieS,P1000,0,1,0
Accepted,wanghj25,P1000,1,2,0
Accepted,zhouyongqiang,P1000,1,3,0
Unaccepted,SJY001,P1000,0,4,0
Unaccepted,qwxxx,P1000,0,5,0
Accepted,suoh123,P1000,1,6,0
Accepted,一起吃饭,P1000,1,7,0
Accepted,jynf,P1000,1,8,0
Unaccepted,xccmy,P1000,0,9,0
Unaccepted,jkljhh,P1000,0,10,0
Accepted,gongchuqiao,P1000,1,11,0
Accepted,Andy123456,P1000,1,12,0
Unaccepted,hty20940136,P1000,0,13,0
Unaccepted,Liutianyou93,P1000,0,14,0
Unaccepted,ll1641589503,P1000,0,15,0
Accepted,abcba12321,P1000,1,16,0
Accepted,555555ly,P1000,1,17,0
Unaccepted,zhangruoli,P1000,0,18,0
Accepted,Jeffjiang,P1000,1,19,0
Unaccepted,learnCoding,P1000,0,20,0
Unaccepted,jiaowoxiaokuai111,P1000,0,21,0
Unaccepted,Houmang2009,P1000,0,22,0
Accepted,2087210589ljl,P1000,1,23,0
Unaccepted,weizhuang329,P1000,0,24,0
Accepted,蒟蒻liaoyichen,P1000,1,25,0
Accepted,_LUOGU_USER_,P1000,1,26,0
Unaccepted,Downroad_FutureSnow,P1000,0,27,0
Unaccepted,xjtu2019jh,P1000,0,28,0
Accepted,钰光莎莎123,P1000,1,29,0
Accepted,Taozhiyaoyao250,P1000,1,30,0
Unaccepted,gentlemans1,P1000,0,31,0
Unaccepted,张亚利,P1000,0,32,0
Unaccepted,disappoint,P1000,0,33,0
Unaccepted,Litsev,P1000,0,34,0
Accepted,shuxing,P1000,1,35,0
Unaccepted,larrygao,P1000,0,36,0
Accepted,zhanghaoyuan,P1000,1,37,0
Accepted,千手修罗,P1000,1,38,0
Accepted,qaz20020816,P1000,1,39,0
Unaccepted,tju186,P1000,0,40,0
Unaccepted,r7o7l7a7n7d,P1000,0,41,0
Unaccepted,lilyli,P1000,0,42,0
Accepted,luanshangbo,P1000,1,43,0
Accepted,爱学习嘀嘀,P1000,1,44,0
Unaccepted,LISTENR,P1000,0,45,0
Unshown,,P1000,2,46,0
Unaccepted,_晓风残月_,P1000,0,47,0
Unaccepted,3435814075ykj,P1000,0,48,0
Unaccepted,xingjiahui,P1000,0,49,0
Unaccepted,瀚海信竟dhy,P1000,0,50,0
Accepted,志臻叶雨萌,P1000,1,51,0
Accepted,Renga丶,P1000,1,52,0
Unaccepted,wangwenyu1,P1000,0,53,0
Unaccepted,stranger_74,P1000,0,54,0
Accepted,李浩罡,P1000,1,55,0
Accepted,尤为突出,P1000,1,56,0
Accepted,yingjingxu,P1000,1,57,0
Unaccepted,Fuxr,P1000,0,58,0
Accepted,EPICETERNITY,P1000,1,59,0
Accepted,公爵阁下,P1000,1,60,0
Unaccepted,Lucifer1,P1000,0,61,0
Unaccepted,qw12m,P1000,0,62,0
Accepted,maxhjz,P1000,1,63,0
Unaccepted,sanoge,P1000,0,64,0
Accepted,Kenny0309,P1000,1,65,0
Unaccepted,AusnUnia,P1000,0,66,0
Unaccepted,飒飒,P1000,0,67,0
Unaccepted,leukocyte,P1000,0,68,0
Unaccepted,cgy陈冠宇,P1000,0,69,0
Accepted,自由的小鱼,P1000,1,70,0
Accepted,旋风游侠,P1000,1,71,0
Unaccepted,wryyyyyyyy,P1000,0,72,0
Accepted,Ai_Kurumi33,P1000,1,73,0
Unaccepted,—_—_—_,P1000,0,74,0
Unaccepted,Bill2020,P1000,0,75,0
Accepted,shenlan1226,P1000,1,76,0
Unaccepted,Chrora,P1000,0,77,0
Accepted,时光胶囊,P1000,1,78,0
Unaccepted,RainBridge,P1000,0,79,0
Unaccepted,张格瑞gary,P1000,0,80,0
Unaccepted,siuver,P1000,0,81,0
Accepted,baishengmen,P1000,1,82,0
Accepted,计算机洪晓东,P1000,1,83,0
Unaccepted,tianmaozhen,P1000,0,84,0
Unaccepted,Bright0427,P1000,0,85,0
Unaccepted,z97155,P1000,0,86,0
Unaccepted,T193630644,P1000,0,87,0
Unaccepted,痴梦师,P1000,0,88,0
Unaccepted,李坤璘,P1000,0,89,0
Accepted,wei189299,P1000,1,90,0
Accepted,Red_Lantern,P1000,1,91,0
Accepted,m201923,P1000,1,92,0
Accepted,柑普0615,P1000,1,93,0
Accepted,Eva_pan,P1000,1,94,0
Unaccepted,Harry_0802,P1000,0,95,0
Accepted,zzh是hh,P1000,1,96,0
Accepted,xhl_338,P1000,1,97,0
Unaccepted,KWK942647,P1000,0,98,0
Unaccepted,0x9Nu,P1000,0,99,0
Unaccepted,ABLT,P1000,0,100,0
