question_id,question_embedding
0,"[0.2448378950357437, 0.5186277627944946, 2.3401942253112793, 0.4720439314842224, 3.847148895263672, 0.5214102268218994, 0.3166711628437042, 0.03830493241548538]"
1,"[0.30515730381011963, 0.7438185214996338, 3.4050216674804688, 0.8882406949996948, 11.214980125427246, 1.094502568244934, 0.1697085201740265, 0.015556694939732552]"
2,"[0.23769016563892365, 0.6763321161270142, 4.649235725402832, 0.5300859212875366, 5.777341842651367, 0.6210395693778992, 0.4089631736278534, 0.03882548213005066]"
3,"[0.2681953012943268, 0.6223632097244263, 2.968238353729248, 0.6436315774917603, 6.961122512817383, 0.7593488097190857, 0.2657957077026367, 0.02914826199412346]"
4,"[0.2447448968887329, 0.6344090700149536, 3.861588716506958, 0.5392320156097412, 5.605210781097412, 0.6262656450271606, 0.3634317219257355, 0.0368083193898201]"
5,"[0.2676808536052704, 0.6635233163833618, 3.5384836196899414, 0.6653411388397217, 7.56431770324707, 0.793931245803833, 0.2848055362701416, 0.028873415663838387]"
6,"[0.24251550436019897, 0.6961613297462463, 4.759042739868164, 0.5645545721054077, 6.399440288543701, 0.6686097979545593, 0.3981838822364807, 0.03687751293182373]"
7,"[0.2569817304611206, 0.6206839084625244, 3.2994003295898438, 0.5890134572982788, 6.193503379821777, 0.688480019569397, 0.30986762046813965, 0.03297599405050278]"
8,"[0.2905237078666687, 0.6695109605789185, 2.877168893814087, 0.7763668298721313, 9.137246131896973, 0.9379305839538574, 0.19654050469398499, 0.021085070446133614]"
9,"[0.28308576345443726, 0.6706547141075134, 3.1349899768829346, 0.7420569658279419, 8.672569274902344, 0.8940837383270264, 0.22646452486515045, 0.02343955636024475]"
10,"[0.274941623210907, 0.6292420625686646, 2.855168581008911, 0.6798511147499084, 7.518039226531982, 0.8071515560150146, 0.2420111447572708, 0.026690728962421417]"
11,"[0.25838252902030945, 0.5075217485427856, 1.7517480850219727, 0.5297386646270752, 4.559004306793213, 0.5942860841751099, 0.25807517766952515, 0.03394024074077606]"
12,"[0.25050508975982666, 0.5698924660682678, 2.829998731613159, 0.5283174514770508, 4.994241237640381, 0.6020021438598633, 0.3152911365032196, 0.03596282750368118]"
13,"[0.2763366997241974, 0.5757395029067993, 2.0932178497314453, 0.6523073315620422, 6.752747535705566, 0.763252317905426, 0.21691931784152985, 0.027767857536673546]"
14,"[0.22107404470443726, 0.5435881614685059, 3.413750410079956, 0.37359416484832764, 2.6596567630767822, 0.39797839522361755, 0.420955091714859, 0.04597592353820801]"
15,"[0.25340983271598816, 0.500642716884613, 1.8163158893585205, 0.5014004707336426, 4.122694969177246, 0.556179404258728, 0.275494784116745, 0.035618238151073456]"
16,"[0.2056957632303238, 0.634039044380188, 5.092044830322266, 0.35309427976608276, 3.0301737785339355, 0.3856085240840912, 0.5191466212272644, 0.05040410906076431]"
17,"[0.2556004524230957, 0.596881091594696, 3.0298612117767334, 0.5687130689620972, 5.745242595672607, 0.658460259437561, 0.30566510558128357, 0.033784180879592896]"
18,"[0.2540252208709717, 0.6033579111099243, 3.1573073863983154, 0.564984917640686, 5.736786842346191, 0.6545591354370117, 0.31421035528182983, 0.03427805379033089]"
19,"[0.29217758774757385, 0.6697292923927307, 2.8427088260650635, 0.7841438055038452, 9.247658729553223, 0.9483659267425537, 0.19098003208637238, 0.02076108008623123]"
20,"[0.24608702957630157, 0.7100135087966919, 4.8318328857421875, 0.5899565815925598, 6.848686695098877, 0.7037853598594666, 0.38917291164398193, 0.03560838848352432]"
21,"[0.23782312870025635, 0.5281692147254944, 2.688502073287964, 0.4446488618850708, 3.5374624729156494, 0.48747700452804565, 0.34798431396484375, 0.04046107083559036]"
22,"[0.26966166496276855, 0.6148631572723389, 2.8198025226593018, 0.6462999582290649, 6.943492412567139, 0.761583149433136, 0.25669804215431213, 0.028625257313251495]"
23,"[0.27341482043266296, 0.7297461032867432, 4.221158981323242, 0.7311282157897949, 8.944881439208984, 0.8891291618347168, 0.28856122493743896, 0.026012945920228958]"
24,"[0.25389230251312256, 0.6007118225097656, 3.121797561645508, 0.5626839399337769, 5.686493873596191, 0.6511728167533875, 0.3135196566581726, 0.03419756516814232]"
25,"[0.249960258603096, 0.6702725887298584, 4.173514366149902, 0.5850101113319397, 6.4961419105529785, 0.6909230947494507, 0.3574177622795105, 0.03469981998205185]"
26,"[0.2781112492084503, 0.7577618360519409, 4.438229560852051, 0.7696050405502319, 9.680083274841309, 0.943151593208313, 0.281401127576828, 0.024110373109579086]"
