question_id,question_sim_list
0,0 10 15 70 45 31 59 37 51 58 48 74 18 24 25 55 20 42 57 36
1,1 35 77 53 41 39 46 52 8 56 42 20 25 24 48 58 51 37 45 15
2,2 6 34 80 5 43 40 26 22 72 79 28 19 11 3 13 66 29 68 7
3,3 68 19 28 7 9 27 64 79 72 26 16 43 80 2 6 34 5 81 40
4,4 61 33 38 49 60 75 73 17 12 78 47 14 30 71 21 69 67 50 76
5,5 34 40 6 2 80 43 22 26 72 79 28 19 11 13 66 29 3 68 44
6,6 34 2 5 40 80 43 26 22 72 79 28 19 11 13 3 66 29 68 7
7,7 9 27 64 68 3 16 19 28 81 76 50 79 72 67 69 26 71 43 30
8,8 56 52 46 42 20 39 25 24 53 48 58 35 51 37 45 15 1 0 10
9,9 64 27 7 68 16 3 81 19 76 28 50 67 69 79 72 26 71 30 43
10,10 0 70 15 31 59 45 37 51 58 74 18 48 24 55 25 57 20 36 42
11,11 13 66 29 44 63 22 54 40 5 34 6 2 80 23 43 36 57 26 72
12,12 78 47 17 73 75 30 71 69 67 50 76 81 38 16 61 64 27 9 7
13,13 66 11 29 44 63 22 54 40 23 5 34 6 2 80 36 57 43 55 26
14,14 21 65 32 62 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
15,15 45 37 51 58 0 48 10 24 25 20 42 70 31 59 56 8 52 46 74
16,16 81 27 64 9 76 7 50 67 69 68 3 71 30 19 28 47 79 72 78
17,17 73 75 12 78 47 38 30 71 61 69 67 50 76 81 4 16 64 27 9
18,18 74 55 59 31 57 36 70 23 54 10 0 63 44 29 66 13 15 11 45
19,19 28 3 79 72 68 26 7 43 9 64 27 80 2 6 34 5 40 16 22
20,20 42 25 56 24 8 48 52 46 58 51 37 39 45 53 15 35 0 10 1
21,21 14 65 32 62 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
22,22 40 5 34 6 2 80 11 43 13 66 29 26 72 79 44 63 28 19 54
23,23 36 57 54 55 63 44 18 74 29 66 13 11 59 31 70 22 10 0 40
24,24 25 48 20 58 42 51 37 56 8 45 15 52 46 39 0 53 10 35 70
25,25 24 20 42 48 58 56 8 51 37 52 46 45 15 39 53 0 10 35 70
26,26 72 43 79 80 2 6 34 28 5 40 19 3 22 68 7 9 64 27 11
27,27 64 9 7 68 16 3 81 19 76 50 28 67 69 79 72 71 26 30 43
28,28 19 79 72 3 26 68 43 80 2 7 6 34 9 5 27 64 40 16 22
29,29 66 13 11 44 63 54 22 23 40 36 5 57 34 6 2 80 55 43 26
30,30 71 47 69 67 50 76 81 78 12 16 17 73 27 64 9 75 7 68 3
31,31 59 70 74 18 10 0 55 57 36 23 15 45 54 37 51 58 63 44 48
32,32 62 65 21 14 60 49 33 4 61 38 75 73 17 12 78 47 30 71 69
33,33 49 4 60 61 38 14 75 21 73 17 12 78 47 65 30 32 62 71 69
34,34 6 2 5 40 80 43 26 22 72 79 28 19 11 13 3 66 29 68 7
35,35 53 39 1 46 52 8 56 42 20 25 24 77 48 41 58 51 37 45 15
