title,content,tag,submited,passed,passing_rate,level,p_id
超级玛丽游戏,"超级玛丽是一个非常经典的游戏。请你用字符画的形式输出超级玛丽中的一个场景。
                ********
               ************
               ####....#.
             #..###.....##....
             ###.......######              ###            ###
                ...........               #...#          #...#
               ##*#######                 #.#.#          #.#.#
            ####*******######             #.#.#          #.#.#
           ...#***.****.*###....          #...#          #...#
           ....**********##.....           ###            ###
           ....****    *****....
             ####        ####
           ######        ######
##############################################################
#...#......#.##...#......#.##...#......#.##------------------#
###########################################------------------#
#..#....#....##..#....#....##..#....#....#####################
##########################################    #----------#
#.....#......##.....#......##.....#......#    #----------#
##########################################    #----------#
#.#..#....#..##.#..#....#..##.#..#....#..#    #----------#
##########################################    ############

 输入格式 无
 输出格式 如描述",,503.06,193.88,0.39,入门,P1000
A+BProblem," 
         题目背景 强烈推荐新用户必读贴
不熟悉算法竞赛的选手请看这里：
算法竞赛中要求的输出格式中，不能有多余的内容，这也包括了“请输入整数a和b”这一类的提示用户输入信息的内容。若包含了这些内容，将会被认为是 Wrong Answer，即洛谷上的 WA。忽略每一行结尾的空格，以及最后一行之后，多余的换行符。
若因此类问题出现本机（看起来） AC，提交 WA 的现象，请勿认为是洛谷评测机出了问题，而是你的代码中可能存在多余的输出信息。用户可以参考在题目末尾提供的代码。
另外请善用应用中的在线IDE功能，以避免不同平台的评测中所产生的一些问题。
还有一点很重要的是，请不要在对应的题目下面发自己的题解，请发布到题解区域中，否则将处以删除-禁言的处罚。若发现无法提交题解则表明本题题解数量过多。
   输入两个整数 a,ba,ba,b，输出它们的和（∣a∣,∣b∣≤109|a|,|b|\leq 10^9∣a∣,∣b∣≤109）。
注意

Pascal 使用 integer 会爆掉哦！
有负数哦！
C/C++ 的 main 函数必须是 int 类型，而且最后要 return 0。这不仅对洛谷其他题目有效，而且也是 NOIP/NOI/CSP 比赛的要求！

好吧，同志们，我们就从这一题开始，向着大牛的路进发。

任何一个伟大的思想，都有一个微不足道的开始。

 输入格式 两个整数以空格分开。
 输出格式 一个整数。
  输入输出样例 输入 #1 
    复制
   20 30
 输出 #1 
    复制
   50
 说明/提示 本题各种语言的程序范例：
C
#include <stdio.h>

int main() {
    int a,b;
    scanf(""%d%d"",&a,&b);
    printf(""%d"", a+b);
    return 0;
}


C++
#include <iostream>
#include <cstdio>

using namespace std;

int main() {
    int a,b;
    cin >> a >> b;
    cout << a+b;
    return 0;
}


Pascal
var a, b: longint;
begin
    readln(a,b);
    writeln(a+b);
end.


Python2
s = raw_input().split()
print int(s[0]) + int(s[1])


Python3
s = input().split()
print(int(s[0]) + int(s[1]))


Java
import java.io.*;
import java.util.*;
public class Main {
    public static void main(String args[]) throws Exception {
        Scanner cin=new Scanner(System.in);
        int a = cin.nextInt(), b = cin.nextInt();
        System.out.println(a+b);
    }
}


JavaScript （Node.js）
const fs = require('fs')
const data = fs.readFileSync('/dev/stdin')
const result = data.toString('ascii').trim().split(' ').map(x => parseInt(x)).reduce((a, b) => a + b, 0)
console.log(result)
process.exit() // 请注意必须在出口点处加入此行


Ruby
a, b = gets.split.map(&:to_i)
print a+b


PHP
<?php
$input = trim(file_get_contents(""php://stdin""));
list($a, $b) = explode(' ', $input);
echo $a + $b;


Rust
use std::io;

fn main(){
    let mut input=String::new();
    io::stdin().read_line(&mut input).unwrap();
    let mut s=input.trim().split(' ');

    let a:i32=s.next().unwrap()
               .parse().unwrap();
    let b:i32=s.next().unwrap()
               .parse().unwrap();
    println!(""{}"",a+b);
}


Go
package main

import ""fmt""

func main() {
    var a, b int
    fmt.Scanf(""%d%d"", &a, &b)
    fmt.Println(a+b)
}


C# Mono
using System;

public class APlusB{
    private static void Main(){
        string[] input = Console.ReadLine().Split(' ');
        Console.WriteLine(int.Parse(input[0]) + int.Parse(input[1]));
    }
}


Visual Basic Mono
Imports System

Module APlusB
    Sub Main()
        Dim ins As String() = Console.ReadLine().Split(New Char(){"" ""c})
        Console.WriteLine(Int(ins(0))+Int(ins(1)))
    End Sub
End Module


Kotlin
fun main(args: Array<String>) {
    val (a, b) = readLine()!!.split(' ').map(String::toInt)
    println(a + b)
}


Haskell
main = do
    [a, b] <- (map read . words) `fmap` getLine
    print (a+b)


Scala
object Main extends App {
    println(scala.io.StdIn.readLine().split("" "").map(_.toInt).sum)
}


Perl
my $in = <STDIN>;
chomp $in;
$in = [split /[\s,]+/, $in];
my $c = $in->[0] + $in->[1];
print ""$c\n"";


文言
施「require('fs').readFileSync」於「「/dev/stdin」」。名之曰「數據」。
施「(buf => buf.toString().trim())」於「數據」。昔之「數據」者。今其是矣。
施「(s => s.split(' '))」於「數據」。昔之「數據」者。今其是矣。
注曰。「「文言尚菜，無對象之操作，故需 JavaScript 之语法」」。

夫「數據」之一。取一以施「parseInt」。名之曰「甲」。
夫「數據」之二。取一以施「parseInt」。名之曰「乙」。

加「甲」以「乙」。書之。",,576.31,338.79,0.59,入门,P1001
[NOIP2002普及组]过河卒,"棋盘上 AAA 点有一个过河卒，需要走到目标 BBB 点。卒行走的规则：可以向下、或者向右。同时在棋盘上 CCC 点有一个对方的马，该马所在的点和所有跳跃一步可达的点称为对方马的控制点。因此称之为“马拦过河卒”。
棋盘用坐标表示，AAA 点 (0,0)(0, 0)(0,0)、BBB 点 (n,m)(n, m)(n,m)，同样马的位置坐标是需要给出的。

现在要求你计算出卒从 AAA 点能够到达 BBB 点的路径的条数，假设马的位置是固定不动的，并不是卒走一步马走一步。
 输入格式 一行四个正整数，分别表示 BBB 点坐标和马的坐标。
 输出格式 一个整数，表示所有的路径条数。
  输入输出样例 输入 #1 
    复制
   6 6 3 3
 输出 #1 
    复制
   6
 说明/提示 对于 100%100 \%100% 的数据，1≤n,m≤201 \le n, m \le 201≤n,m≤20，0≤0 \le0≤ 马的坐标 ≤20\le 20≤20。
【题目来源】
NOIP 2002 普及组第四题","NOIp普及组
2002",211.77,64.11,0.3,普及-,P1002
[NOIP2011提高组]铺地毯," 
            为了准备一个独特的颁奖典礼，组织者在会场的一片矩形区域（可看做是平面直角坐标系的第一象限）铺上一些矩形地毯。一共有 nnn 张地毯，编号从 111 到 nnn。现在将这些地毯按照编号从小到大的顺序平行于坐标轴先后铺设，后铺的地毯覆盖在前面已经铺好的地毯之上。
地毯铺设完成后，组织者想知道覆盖地面某个点的最上面的那张地毯的编号。注意：在矩形地毯边界和四个顶点上的点也算被地毯覆盖。
 输入格式 输入共 n+2n + 2n+2 行。
第一行，一个整数 nnn，表示总共有 nnn 张地毯。
接下来的 nnn 行中，第 i+1i+1i+1 行表示编号 iii 的地毯的信息，包含四个整数 a,b,g,ka ,b ,g ,ka,b,g,k，每两个整数之间用一个空格隔开，分别表示铺设地毯的左下角的坐标 (a,b)(a, b)(a,b) 以及地毯在 xxx 轴和 yyy 轴方向的长度。
第 n+2n + 2n+2 行包含两个整数 xxx 和 yyy，表示所求的地面的点的坐标 (x,y)(x, y)(x,y)。
 输出格式 输出共 111 行，一个整数，表示所求的地毯的编号；若此处没有被地毯覆盖则输出 -1。
  输入输出样例 输入 #1 
    复制
   3
1 0 2 3
0 2 3 3
2 1 3 3
2 2
 输出 #1 
    复制
   3

输入 #2 
    复制
   3
1 0 2 3
0 2 3 3
2 1 3 3
4 5 输出 #2 
    复制
   -1 说明/提示 【样例解释 1】
如下图，111 号地毯用实线表示，222 号地毯用虚线表示，333 号用双实线表示，覆盖点 (2,2)(2,2)(2,2) 的最上面一张地毯是 333 号地毯。

【数据范围】
对于 30%30\%30% 的数据，有 n≤2n \le 2n≤2。
对于 50%50\%50% 的数据，0≤a,b,g,k≤1000 \le a, b, g, k \le 1000≤a,b,g,k≤100。
对于 100%100\%100% 的数据，有 0≤n≤1040 \le n \le 10^40≤n≤104, 0≤a,b,g,k≤1050 \le a, b, g, k \le {10}^50≤a,b,g,k≤105。
noip2011 提高组 day1 第 111 题。","NOIp提高组
2011",219.8,77.64,0.35,普及-,P1003
[NOIP2000提高组]方格取数," 
            设有 N×NN \times NN×N 的方格图 (N≤9)(N \le 9)(N≤9)，我们将其中的某些方格中填入正整数，而其他的方格中则放入数字 000。如下图所示（见样例）:
A
 0  0  0  0  0  0  0  0
 0  0 13  0  0  6  0  0
 0  0  0  0  7  0  0  0
 0  0  0 14  0  0  0  0
 0 21  0  0  0  4  0  0
 0  0 15  0  0  0  0  0
 0 14  0  0  0  0  0  0
 0  0  0  0  0  0  0  0
                         B

某人从图的左上角的 AAA 点出发，可以向下行走，也可以向右走，直到到达右下角的 BBB 点。在走过的路上，他可以取走方格中的数（取走后的方格中将变为数字 000）。
此人从 AAA 点到 BBB 点共走两次，试找出 222 条这样的路径，使得取得的数之和为最大。
 输入格式 输入的第一行为一个整数 NNN（表示 N×NN \times NN×N 的方格图），接下来的每行有三个整数，前两个表示位置，第三个数为该位置上所放的数。一行单独的 000 表示输入结束。
 输出格式 只需输出一个整数，表示 222 条路径上取得的最大的和。
  输入输出样例 输入 #1 
    复制
   8
2 3 13
2 6  6
3 5  7
4 4 14
5 2 21
5 6  4
6 3 15
7 2 14
0 0  0
 输出 #1 
    复制
   67 说明/提示 NOIP 2000 提高组第四题","NOIp提高组
2000",62.95,30.97,0.49,普及+/提高,P1004
[NOIP2007提高组]矩阵取数游戏," 
            帅帅经常跟同学玩一个矩阵取数游戏：对于一个给定的 n×mn \times mn×m 的矩阵，矩阵中的每个元素 ai,ja_{i,j}ai,j​ 均为非负整数。游戏规则如下：

每次取数时须从每行各取走一个元素，共 nnn 个。经过 mmm 次后取完矩阵内所有元素；
每次取走的各个元素只能是该元素所在行的行首或行尾；
每次取数都有一个得分值，为每行取数的得分之和，每行取数的得分 = 被取走的元素值 ×2i\times 2^i×2i，其中 iii 表示第 iii 次取数（从 111 开始编号）；
游戏结束总得分为 mmm 次取数得分之和。

帅帅想请你帮忙写一个程序，对于任意矩阵，可以求出取数后的最大得分。
 输入格式 输入文件包括 n+1n+1n+1 行：
第一行为两个用空格隔开的整数 nnn 和 mmm。
第 2∽n+12\backsim n+12∽n+1 行为 n×mn \times mn×m 矩阵，其中每行有 mmm 个用单个空格隔开的非负整数。
 输出格式 输出文件仅包含111行，为一个整数，即输入矩阵取数后的最大得分。
  输入输出样例 输入 #1 
    复制
   2 3
1 2 3
3 4 2
 输出 #1 
    复制
   82 说明/提示 NOIP 2007 提高第三题。
数据范围：
60%60\%60% 的数据满足：1≤n,m≤301\le n,m\le 301≤n,m≤30，答案不超过 101610^{16}1016。
100%100\%100% 的数据满足：1≤n,m≤801\le n,m\le 801≤n,m≤80，0≤ai,j≤10000\le a_{i,j}\le10000≤ai,j​≤1000。",,54.38,16.23,0.3,?,P1005
[NOIP2008提高组]传纸条," 
            小渊和小轩是好朋友也是同班同学，他们在一起总有谈不完的话题。一次素质拓展活动中，班上同学安排做成一个 mmm 行 nnn 列的矩阵，而小渊和小轩被安排在矩阵对角线的两端，因此，他们就无法直接交谈了。幸运的是，他们可以通过传纸条来进行交流。纸条要经由许多同学传到对方手里，小渊坐在矩阵的左上角，坐标 (1,1)(1,1)(1,1)，小轩坐在矩阵的右下角，坐标 (m,n)(m,n)(m,n)。从小渊传到小轩的纸条只可以向下或者向右传递，从小轩传给小渊的纸条只可以向上或者向左传递。
在活动进行中，小渊希望给小轩传递一张纸条，同时希望小轩给他回复。班里每个同学都可以帮他们传递，但只会帮他们一次，也就是说如果此人在小渊递给小轩纸条的时候帮忙，那么在小轩递给小渊的时候就不会再帮忙。反之亦然。
还有一件事情需要注意，全班每个同学愿意帮忙的好感度有高有低（注意：小渊和小轩的好心程度没有定义，输入时用 000 表示），可以用一个 [0,100][0,100][0,100] 内的自然数来表示，数越大表示越好心。小渊和小轩希望尽可能找好心程度高的同学来帮忙传纸条，即找到来回两条传递路径，使得这两条路径上同学的好心程度之和最大。现在，请你帮助小渊和小轩找到这样的两条路径。
 输入格式 第一行有两个用空格隔开的整数 mmm 和 nnn，表示班里有 mmm 行 nnn 列。
接下来的 mmm 行是一个 m×nm \times nm×n 的矩阵，矩阵中第 iii 行 jjj 列的整数表示坐在第 iii 行 jjj 列的学生的好心程度。每行的 nnn 个整数之间用空格隔开。
 输出格式 输出文件共一行一个整数，表示来回两条路上参与传递纸条的学生的好心程度之和的最大值。
  输入输出样例 输入 #1 
    复制
   3 3
0 3 9
2 8 5
5 7 0
 输出 #1 
    复制
   34 说明/提示 【限制】
对于 30%30\%30% 的数据，1≤m,n≤101 \le m,n \le 101≤m,n≤10；
对于 100%100\%100% 的数据满足：1≤m,n≤501 \le m,n \le 501≤m,n≤50。
【来源】
NOIP 2008 提高组第三题","NOIp提高组
高性能
2008",67.62,30.81,0.46,普及+/提高,P1006
独木桥," 
         题目背景 战争已经进入到紧要时间。你是运输小队长，正在率领运输部队向前线运送物资。运输任务像做题一样的无聊。你希望找些刺激，于是命令你的士兵们到前方的一座独木桥上欣赏风景，而你留在桥下欣赏士兵们。士兵们十分愤怒，因为这座独木桥十分狭窄，只能容纳111个人通过。假如有222个人相向而行在桥上相遇，那么他们222个人将无法绕过对方，只能有111个人回头下桥，让另一个人先通过。但是，可以有多个人同时呆在同一个位置。
   突然，你收到从指挥部发来的信息，敌军的轰炸机正朝着你所在的独木桥飞来！为了安全，你的部队必须撤下独木桥。独木桥的长度为LLL，士兵们只能呆在坐标为整数的地方。所有士兵的速度都为111，但一个士兵某一时刻来到了坐标为000或L+1L+1L+1的位置，他就离开了独木桥。
每个士兵都有一个初始面对的方向，他们会以匀速朝着这个方向行走，中途不会自己改变方向。但是，如果两个士兵面对面相遇，他们无法彼此通过对方，于是就分别转身，继续行走。转身不需要任何的时间。
由于先前的愤怒，你已不能控制你的士兵。甚至，你连每个士兵初始面对的方向都不知道。因此，你想要知道你的部队最少需要多少时间就可能全部撤离独木桥。另外，总部也在安排阻拦敌人的进攻，因此你还需要知道你的部队最多需要多少时间才能全部撤离独木桥。
 输入格式 第一行：一个整数LLL，表示独木桥的长度。桥上的坐标为111…LLL
第二行：一个整数NNN，表示初始时留在桥上的士兵数目
第三行：有NNN个整数，分别表示每个士兵的初始坐标。
 输出格式 只有一行，输出222个整数，分别表示部队撤离独木桥的最小时间和最大时间。222个整数由一个空格符分开。
  输入输出样例 输入 #1 
    复制
   4
2
1 3
 输出 #1 
    复制
   2 4 说明/提示 初始时，没有两个士兵同在一个坐标。
数据范围N≤L≤5000N \le L \le 5000N≤L≤5000。",,65.97,29.01,0.44,普及-,P1007
[NOIP1998普及组]三连击,"
      将 1,2,…,91, 2, \ldots , 91,2,…,9 共 999 个数分成 333 组，分别组成 333 个三位数，且使这 333 个三位数构成 1:2:31 : 2 : 31:2:3 的比例，试求出所有满足条件的 333 个三位数。
 输入格式 无
 输出格式 若干行，每行 333 个数字。按照每行第 111 个数字升序排列。
  输入输出样例 输入 #1 
    复制
   无 输出 #1 
    复制
   192 384 576
* * *
...

* * *
","NOIp普及组
提交答案
1998",241.97,108.45,0.45,普及-,P1008
[NOIP1998普及组]阶乘之和," 
            用高精度计算出 S=1!+2!+3!+⋯+n!S = 1! + 2! + 3! + \cdots + n!S=1!+2!+3!+⋯+n!（n≤50n \le 50n≤50）。
其中“!”表示阶乘，例如：5!=5×4×3×2×15! = 5 \times 4 \times 3 \times 2 \times 15!=5×4×3×2×1。
 输入格式 一个正整数 nnn。
 输出格式 一个正整数 SSS，表示计算结果。
  输入输出样例 输入 #1 
    复制
   3
 输出 #1 
    复制
   9 说明/提示 【数据范围】
对于 100%100 \%100% 的数据，1≤n≤501 \le n \le 501≤n≤50。
【其他说明】
注，《深入浅出基础篇》中使用本题作为例题，但是其数据范围只有 n≤20n \le 20n≤20，使用书中的代码无法通过本题。
如果希望通过本题，请继续学习第八章高精度的知识。","NOIp普及组
1998",157.53,40.93,0.26,普及-,P1009
