user_id,user_sim_list
0,0 0 4018 4018 1719 7118 3691 5486 5486 5486 6308 5609 7052 799 799 799 4072 6547 472 6483
1,1 2193 2361 2361 2361 597 597 370 2575 3806 357 7388 3349 4095 4095 6670 5323 5323 5323 1301
2,2 2 3684 5451 4260 4260 3790 593 593 593 593 593 3157 724 1465 1465 2912 2192 5923 2222
3,3 3 3967 666 666 666 666 666 6552 6552 2750 2750 2750 2750 2750 5403 5403 4638 4102 4102
4,4 4 713 713 4216 3628 7026 6954 553 553 553 553 553 553 2484 2484 2484 938 938 938
5,5 5 3017 536 536 536 536 834 834 2604 2604 5995 2340 2340 2340 4874 1048 3583 3583 2179
6,6 993 993 3185 5272 6931 6055 2272 6204 1852 6059 224 6285 5766 2884 2884 2884 3538 4826 1545
7,7 4207 6677 3192 3192 2519 6184 2002 2002 2002 2002 2002 1878 1878 1878 2132 6616 2463 1408 225
8,8 8 5514 2795 3327 7350 3798 2862 2862 6355 6355 6355 1030 5615 3098 3098 3098 3098 3098 3439
9,9 9 9 6514 2603 2563 3596 3596 1475 1259 3949 3949 3949 2410 2410 2410 2410 5807 151 151
10,10 590 3187 3187 3614 480 1714 197 197 864 864 864 3914 6558 5922 4246 621 621 621 3428
11,11 1311 1311 1311 1311 1311 787 787 787 787 1970 1970 3510 3510 1956 1340 6898 6898 1922 1922
12,12 12 1003 5727 2632 3338 3338 3338 3338 3714 1133 4418 3829 3829 3829 3829 3829 3829 159 159
13,13 13 2317 3681 5850 1181 1181 6174 1018 6472 3594 5944 1101 5720 3188 3589 3589 3589 6651 3635
14,14 14 7320 4499 4499 4892 4591 4591 678 207 1676 791 791 1694 4399 510 510 5588 2021 2021
15,15 5304 4621 7288 1450 1450 1450 1450 1450 1566 1566 694 6904 6904 6904 4051 2283 5818 6554 5026
16,16 3390 3236 3236 3816 2753 2753 2753 6781 1297 5886 4232 1017 6060 6060 221 2100 1683 2495 2495
17,17 17 6401 2407 2407 276 6332 4710 2197 4294 1238 1238 1238 1238 3649 2932 5794 5232 5232 2978
18,18 18 7261 2218 897 897 897 4421 2262 2262 2262 6894 2040 2040 2040 3387 3387 4026 4026 2789
19,19 19 5736 1756 7375 382 382 382 2716 4831 395 395 395 395 785 4981 5002 5436 5124 5658
20,20 6619 2800 2800 1293 1293 4536 4847 4847 890 890 890 890 890 890 6935 4045 207 4469 1338
21,21 21 3549 2787 2787 2787 86 86 948 4973 6463 4848 5088 5088 4328 4328 6474 3616 1809 1809
22,22 4126 4126 4214 1440 1440 1440 1893 1893 2628 2628 2628 2628 2628 2628 1705 1556 1497 1497 2982
23,23 23 1913 1913 2062 2062 2062 2062 2062 2062 2062 2062 2062 2062 2062 2062 2062 2062 268 6491
24,24 24 2965 2965 1361 1361 2861 6319 5616 4220 802 4583 4325 2339 2339 2339 2339 1595 1595 1595
25,25 25 25 25 25 6820 5532 2391 606 4636 1620 1620 1620 1620 3978 3978 2538 3385 2698 7353
26,26 881 881 881 881 881 4649 3253 3253 3253 6111 3884 5632 4494 1688 594 594 594 4253 4253
27,27 27 27 27 27 1770 2071 4577 2713 6558 7428 3428 6290 6290 6290 5477 5477 4589 3121 590
28,28 1060 6805 1280 1280 944 1413 1055 1055 1253 2807 2807 2469 5711 513 513 513 513 6212 1211
29,29 29 29 5145 4444 647 7357 3844 3844 1752 1752 890 890 890 890 890 890 6019 1308 7121
30,30 30 1175 1175 2442 2442 2442 2442 2442 2442 2442 2442 2442 2442 410 2812 3999 7401 328 4429
31,31 31 7294 1117 7148 832 832 832 832 4922 4922 4922 6182 6553 2929 2929 467 467 2347 5255
32,32 4478 4052 7372 4983 4074 4168 2768 151 151 4520 2992 3596 3596 1405 1405 1405 469 469 469
33,33 33 859 4313 1247 2597 3754 4805 4805 7232 6007 5612 7201 5779 1960 1960 1960 1940 1940 4416
34,34 34 34 34 34 7102 6579 6575 3296 5664 2876 2876 2795 5514 7004 3327 2544 2544 2544 300
35,35 35 35 624 624 624 624 2818 2818 2818 2818 2818 2818 2818 1470 1470 1470 1470 1470 1470
36,36 36 6488 3931 3931 6099 6099 6853 5930 3697 3847 3847 3190 2121 2121 2121 2121 2121 2121 3872
37,37 37 1365 1365 7227 4727 6132 6132 2513 2513 2513 2513 2513 1525 1525 1525 1525 5250 2772 3351
38,38 38 38 2699 2699 5064 6889 7221 195 1322 1322 1322 851 851 297 6153 3787 5513 133 133
39,39 39 4879 6530 6530 1742 3560 3560 6462 6462 1482 1482 1482 1482 1482 1482 1482 1482 1482 1482
40,40 40 5388 5099 5099 3099 3099 3099 3849 7042 1787 1787 1267 1267 1267 1267 3302 4606 7159 1607
41,41 41 5876 240 690 690 7347 7309 6730 3863 3863 1362 6628 6247 3615 99 4798 1567 1567 4637
42,42 42 440 5434 5434 4509 6717 1506 1506 1506 1506 6565 5087 6538 2049 6359 5282 5024 986 986
43,43 43 3297 4358 6124 5602 5602 7132 4674 4674 1894 1894 1894 1894 1894 1236 1236 2730 2636 2636
44,44 44 4254 2888 7415 4551 6256 3483 3483 3483 60 2873 5540 5540 3071 3071 3071 3767 5071 1797
45,45 2406 2974 2895 2279 2541 2541 2541 2541 2541 1762 1075 1075 7005 4362 3177 6720 3066 3066 5761
46,46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46
47,47 47 47 2359 2359 2359 1469 1469 4751 4751 5501 5501 1510 1510 3086 3292 3292 3292 4772 2914
48,48 7068 4481 4481 3541 850 6964 6964 2557 7161 2945 2945 2945 1659 5604 4496 6798 2395 1673 1673
49,49 49 49 3509 570 570 2564 2564 858 5469 4360 1146 2537 6556 6556 5756 1576 1576 1576 2857
50,50 50 50 5340 5381 1798 1798 1798 1798 6812 4413 4413 7254 4533 4533 4533 1679 1679 378 2013
51,51 51 205 205 2492 2492 4101 4373 825 825 825 6658 3037 2322 2322 2322 2322 2322 2322 2322
52,52 52 52 6861 7235 7169 7196 4317 3689 3689 3689 57 57 6524 3746 5742 4090 5826 459 459
53,53 53 53 2796 3202 3202 2209 2209 1731 5047 7016 2838 3941 6620 446 446 446 4020 4020 4020
54,54 54 5783 1026 1026 1026 1026 2314 2314 6130 6130 1290 1290 1519 1519 6851 2981 2290 1890 1772
55,55 4965 2130 2130 2130 2130 2130 3603 3260 6194 1922 1922 1922 1922 1922 1922 2868 2868 2868 6898
56,56 56 56 649 649 649 649 649 649 649 649 649 649 649 649 649 649 649 649 5719
57,57 57 3689 3689 3689 2228 4317 1464 1464 459 459 3543 4090 3710 6524 4304 6372 6372 6372 4577
58,58 58 58 58 3952 1161 1161 1161 1161 4392 4392 5082 3733 1796 1796 1796 1796 1796 4438 6912
59,59 1989 1604 1604 3980 5143 2066 2772 4602 3915 7297 7075 7362 5487 5487 5103 951 4727 4571 1382
